iteration : 19, ce : 0.5368478134274483, total_loss : 0.5368478134274483, time : 84
iteration : 39, ce : 0.4019817501306534, total_loss : 0.4019817501306534, time : 46
iteration : 59, ce : 0.3882380411028862, total_loss : 0.3882380411028862, time : 49
iteration : 79, ce : 0.31340705156326293, total_loss : 0.31340705156326293, time : 49
iteration : 99, ce : 0.3311042502522469, total_loss : 0.3311042502522469, time : 47
iteration : 119, ce : 0.300313338637352, total_loss : 0.300313338637352, time : 47
iteration : 139, ce : 0.30519106686115266, total_loss : 0.30519106686115266, time : 47
iteration : 159, ce : 0.2678371451795101, total_loss : 0.2678371451795101, time : 47
iteration : 179, ce : 0.33209268376231194, total_loss : 0.33209268376231194, time : 47
iteration : 199, ce : 0.30896543338894844, total_loss : 0.30896543338894844, time : 47
iteration : 219, ce : 0.29655985683202746, total_loss : 0.29655985683202746, time : 47
iteration : 239, ce : 0.27018624246120454, total_loss : 0.27018624246120454, time : 47
iteration : 259, ce : 0.29985718205571177, total_loss : 0.29985718205571177, time : 47
iteration : 279, ce : 0.2572234220802784, total_loss : 0.2572234220802784, time : 47
iteration : 299, ce : 0.24682896211743355, total_loss : 0.24682896211743355, time : 47
iteration : 319, ce : 0.23679514229297638, total_loss : 0.23679514229297638, time : 48
iteration : 339, ce : 0.25878686010837554, total_loss : 0.25878686010837554, time : 48
iteration : 359, ce : 0.25129443034529686, total_loss : 0.25129443034529686, time : 47
iteration : 379, ce : 0.2914923794567585, total_loss : 0.2914923794567585, time : 47
iteration : 399, ce : 0.27944559454917905, total_loss : 0.27944559454917905, time : 48
iteration : 419, ce : 0.2386398047208786, total_loss : 0.2386398047208786, time : 47
iteration : 439, ce : 0.26198914349079133, total_loss : 0.26198914349079133, time : 47
iteration : 459, ce : 0.2893242917954922, total_loss : 0.2893242917954922, time : 48
iteration : 479, ce : 0.3007487654685974, total_loss : 0.3007487654685974, time : 47
iteration : 499, ce : 0.2710678964853287, total_loss : 0.2710678964853287, time : 47
iteration : 519, ce : 0.2808521412312984, total_loss : 0.2808521412312984, time : 47
iteration : 539, ce : 0.27792791798710825, total_loss : 0.27792791798710825, time : 48
iteration : 559, ce : 0.25163771510124205, total_loss : 0.25163771510124205, time : 47
iteration : 579, ce : 0.2545114178210497, total_loss : 0.2545114178210497, time : 47
iteration : 599, ce : 0.24464460127055646, total_loss : 0.24464460127055646, time : 48
iteration : 619, ce : 0.2522738814353943, total_loss : 0.2522738814353943, time : 48
iteration : 639, ce : 0.2453184314072132, total_loss : 0.2453184314072132, time : 47
iteration : 659, ce : 0.25650542937219145, total_loss : 0.25650542937219145, time : 48
iteration : 679, ce : 0.24217671304941177, total_loss : 0.24217671304941177, time : 47
iteration : 699, ce : 0.24415287151932716, total_loss : 0.24415287151932716, time : 47
iteration : 719, ce : 0.2567728504538536, total_loss : 0.2567728504538536, time : 47
iteration : 739, ce : 0.2806498758494854, total_loss : 0.2806498758494854, time : 48
iteration : 759, ce : 0.25049581117928027, total_loss : 0.25049581117928027, time : 47
iteration : 779, ce : 0.2361947473138571, total_loss : 0.2361947473138571, time : 47
iteration : 799, ce : 0.24744291827082635, total_loss : 0.24744291827082635, time : 48
iteration : 819, ce : 0.2505160227417946, total_loss : 0.2505160227417946, time : 47
iteration : 839, ce : 0.2377401776611805, total_loss : 0.2377401776611805, time : 49
iteration : 859, ce : 0.2355845592916012, total_loss : 0.2355845592916012, time : 48
iteration : 879, ce : 0.24356480538845063, total_loss : 0.24356480538845063, time : 47
iteration : 899, ce : 0.219127694144845, total_loss : 0.219127694144845, time : 48
iteration : 919, ce : 0.23789756447076799, total_loss : 0.23789756447076799, time : 47
iteration : 939, ce : 0.26351032555103304, total_loss : 0.26351032555103304, time : 48
iteration : 959, ce : 0.2161915123462677, total_loss : 0.2161915123462677, time : 47
iteration : 979, ce : 0.2398492328822613, total_loss : 0.2398492328822613, time : 47
iteration : 999, ce : 0.229826145991683, total_loss : 0.229826145991683, time : 47
iteration : 1019, ce : 0.22472387738525867, total_loss : 0.22472387738525867, time : 47
iteration : 1039, ce : 0.25799139589071274, total_loss : 0.25799139589071274, time : 47
iteration : 1059, ce : 0.24278488159179687, total_loss : 0.24278488159179687, time : 47
iteration : 1079, ce : 0.23728074058890342, total_loss : 0.23728074058890342, time : 47
iteration : 1099, ce : 0.24142593368887902, total_loss : 0.24142593368887902, time : 47
iteration : 1119, ce : 0.2015374332666397, total_loss : 0.2015374332666397, time : 47
iteration : 1139, ce : 0.2486584685742855, total_loss : 0.2486584685742855, time : 48
iteration : 1159, ce : 0.2666139617562294, total_loss : 0.2666139617562294, time : 47
iteration : 1179, ce : 0.22874499037861823, total_loss : 0.22874499037861823, time : 47
iteration : 1199, ce : 0.20744048357009887, total_loss : 0.20744048357009887, time : 47
iteration : 1219, ce : 0.2163503110408783, total_loss : 0.2163503110408783, time : 47
iteration : 1239, ce : 0.22915611341595649, total_loss : 0.22915611341595649, time : 47
iteration : 1259, ce : 0.25414124727249143, total_loss : 0.25414124727249143, time : 47
iteration : 1279, ce : 0.20322650521993638, total_loss : 0.20322650521993638, time : 47
iteration : 1299, ce : 0.25300863906741144, total_loss : 0.25300863906741144, time : 47
iteration : 1319, ce : 0.26039971932768824, total_loss : 0.26039971932768824, time : 47
