iteration : 19, ce : 0.5662686511874199, total_loss : 0.5662686511874199, time : 74
iteration : 39, ce : 0.5054009214043618, total_loss : 0.5054009214043618, time : 29
iteration : 59, ce : 0.4126979887485504, total_loss : 0.4126979887485504, time : 31
iteration : 79, ce : 0.3758243553340435, total_loss : 0.3758243553340435, time : 33
iteration : 99, ce : 0.372817862033844, total_loss : 0.372817862033844, time : 34
iteration : 119, ce : 0.37831392884254456, total_loss : 0.37831392884254456, time : 35
iteration : 139, ce : 0.3338818341493607, total_loss : 0.3338818341493607, time : 36
iteration : 159, ce : 0.3478130102157593, total_loss : 0.3478130102157593, time : 35
iteration : 179, ce : 0.3572761885821819, total_loss : 0.3572761885821819, time : 35
iteration : 199, ce : 0.3442235209047794, total_loss : 0.3442235209047794, time : 36
iteration : 219, ce : 0.3325331687927246, total_loss : 0.3325331687927246, time : 35
iteration : 239, ce : 0.3156654641032219, total_loss : 0.3156654641032219, time : 36
iteration : 259, ce : 0.3093332342803478, total_loss : 0.3093332342803478, time : 36
iteration : 279, ce : 0.3234544977545738, total_loss : 0.3234544977545738, time : 35
iteration : 299, ce : 0.3262492045760155, total_loss : 0.3262492045760155, time : 35
iteration : 319, ce : 0.31020457297563553, total_loss : 0.31020457297563553, time : 35
iteration : 339, ce : 0.32271147780120374, total_loss : 0.32271147780120374, time : 36
iteration : 359, ce : 0.30714730471372603, total_loss : 0.30714730471372603, time : 36
iteration : 379, ce : 0.31546826139092443, total_loss : 0.31546826139092443, time : 35
iteration : 399, ce : 0.33922566622495653, total_loss : 0.33922566622495653, time : 36
iteration : 419, ce : 0.3090890862047672, total_loss : 0.3090890862047672, time : 36
iteration : 439, ce : 0.3303202033042908, total_loss : 0.3303202033042908, time : 36
iteration : 459, ce : 0.32099018096923826, total_loss : 0.32099018096923826, time : 35
iteration : 479, ce : 0.3236850701272488, total_loss : 0.3236850701272488, time : 35
iteration : 499, ce : 0.28681156039237976, total_loss : 0.28681156039237976, time : 35
iteration : 519, ce : 0.28433871567249297, total_loss : 0.28433871567249297, time : 36
iteration : 539, ce : 0.2851457707583904, total_loss : 0.2851457707583904, time : 35
iteration : 559, ce : 0.300664571672678, total_loss : 0.300664571672678, time : 36
iteration : 579, ce : 0.31018117517232896, total_loss : 0.31018117517232896, time : 35
iteration : 599, ce : 0.3010094903409481, total_loss : 0.3010094903409481, time : 36
iteration : 619, ce : 0.30448046401143075, total_loss : 0.30448046401143075, time : 35
iteration : 639, ce : 0.2949776493012905, total_loss : 0.2949776493012905, time : 36
iteration : 659, ce : 0.3251899629831314, total_loss : 0.3251899629831314, time : 35
iteration : 679, ce : 0.2796168252825737, total_loss : 0.2796168252825737, time : 35
iteration : 699, ce : 0.2748351700603962, total_loss : 0.2748351700603962, time : 35
iteration : 719, ce : 0.3106562368571758, total_loss : 0.3106562368571758, time : 35
iteration : 739, ce : 0.29267614111304285, total_loss : 0.29267614111304285, time : 36
iteration : 759, ce : 0.2967885985970497, total_loss : 0.2967885985970497, time : 35
iteration : 779, ce : 0.28574989140033724, total_loss : 0.28574989140033724, time : 36
iteration : 799, ce : 0.2569420076906681, total_loss : 0.2569420076906681, time : 35
iteration : 819, ce : 0.27669590786099435, total_loss : 0.27669590786099435, time : 35
iteration : 839, ce : 0.26827346011996267, total_loss : 0.26827346011996267, time : 35
iteration : 859, ce : 0.29480128139257433, total_loss : 0.29480128139257433, time : 36
iteration : 879, ce : 0.2927128724753857, total_loss : 0.2927128724753857, time : 35
iteration : 899, ce : 0.28819939121603966, total_loss : 0.28819939121603966, time : 35
iteration : 919, ce : 0.2770344100892544, total_loss : 0.2770344100892544, time : 35
iteration : 939, ce : 0.24821246340870856, total_loss : 0.24821246340870856, time : 36
iteration : 959, ce : 0.2641954056918621, total_loss : 0.2641954056918621, time : 35
iteration : 979, ce : 0.28798423409461976, total_loss : 0.28798423409461976, time : 35
iteration : 999, ce : 0.2766631208360195, total_loss : 0.2766631208360195, time : 36
iteration : 1019, ce : 0.26779804453253747, total_loss : 0.26779804453253747, time : 35
