iteration : 19, ce : 0.5550510436296463, total_loss : 0.5550510436296463, time : 121
iteration : 39, ce : 0.4533401966094971, total_loss : 0.4533401966094971, time : 86
iteration : 59, ce : 0.36814396977424624, total_loss : 0.36814396977424624, time : 87
iteration : 79, ce : 0.3446326494216919, total_loss : 0.3446326494216919, time : 87
iteration : 99, ce : 0.33683898150920866, total_loss : 0.33683898150920866, time : 87
iteration : 119, ce : 0.32663956135511396, total_loss : 0.32663956135511396, time : 86
iteration : 139, ce : 0.3032558083534241, total_loss : 0.3032558083534241, time : 86
iteration : 159, ce : 0.33865733444690704, total_loss : 0.33865733444690704, time : 85
iteration : 179, ce : 0.33023558631539346, total_loss : 0.33023558631539346, time : 85
iteration : 199, ce : 0.3124217800796032, total_loss : 0.3124217800796032, time : 86
iteration : 219, ce : 0.30085777044296264, total_loss : 0.30085777044296264, time : 85
iteration : 239, ce : 0.3179176777601242, total_loss : 0.3179176777601242, time : 86
iteration : 259, ce : 0.3018807165324688, total_loss : 0.3018807165324688, time : 86
iteration : 279, ce : 0.29015694335103037, total_loss : 0.29015694335103037, time : 86
iteration : 299, ce : 0.311129991710186, total_loss : 0.311129991710186, time : 86
iteration : 319, ce : 0.2810712829232216, total_loss : 0.2810712829232216, time : 86
iteration : 339, ce : 0.29282132014632223, total_loss : 0.29282132014632223, time : 86
iteration : 359, ce : 0.2932995416224003, total_loss : 0.2932995416224003, time : 86
iteration : 379, ce : 0.31412096619606017, total_loss : 0.31412096619606017, time : 86
iteration : 399, ce : 0.2863626442849636, total_loss : 0.2863626442849636, time : 86
iteration : 419, ce : 0.3001706928014755, total_loss : 0.3001706928014755, time : 86
iteration : 439, ce : 0.268240512162447, total_loss : 0.268240512162447, time : 86
iteration : 459, ce : 0.29794949665665627, total_loss : 0.29794949665665627, time : 86
iteration : 479, ce : 0.29734648391604424, total_loss : 0.29734648391604424, time : 86
iteration : 499, ce : 0.2862003266811371, total_loss : 0.2862003266811371, time : 86
iteration : 519, ce : 0.27485972791910174, total_loss : 0.27485972791910174, time : 86
iteration : 539, ce : 0.2857317917048931, total_loss : 0.2857317917048931, time : 86
iteration : 559, ce : 0.28800592198967934, total_loss : 0.28800592198967934, time : 86
iteration : 579, ce : 0.2832165561616421, total_loss : 0.2832165561616421, time : 86
iteration : 599, ce : 0.28760207667946813, total_loss : 0.28760207667946813, time : 86
iteration : 619, ce : 0.27544509172439574, total_loss : 0.27544509172439574, time : 86
iteration : 639, ce : 0.29549139812588693, total_loss : 0.29549139812588693, time : 86
iteration : 659, ce : 0.25521945357322695, total_loss : 0.25521945357322695, time : 86
iteration : 679, ce : 0.2480865441262722, total_loss : 0.2480865441262722, time : 86
iteration : 699, ce : 0.2865391060709953, total_loss : 0.2865391060709953, time : 86
iteration : 719, ce : 0.26925141736865044, total_loss : 0.26925141736865044, time : 86
iteration : 739, ce : 0.28625777885317805, total_loss : 0.28625777885317805, time : 86
iteration : 759, ce : 0.2759163074195385, total_loss : 0.2759163074195385, time : 86
iteration : 779, ce : 0.28479195907711985, total_loss : 0.28479195907711985, time : 86
iteration : 799, ce : 0.2858238071203232, total_loss : 0.2858238071203232, time : 86
iteration : 819, ce : 0.27183040231466293, total_loss : 0.27183040231466293, time : 86
iteration : 839, ce : 0.25864851996302607, total_loss : 0.25864851996302607, time : 86
iteration : 859, ce : 0.26901601552963256, total_loss : 0.26901601552963256, time : 86
iteration : 879, ce : 0.26846256479620934, total_loss : 0.26846256479620934, time : 86
iteration : 899, ce : 0.2491047739982605, total_loss : 0.2491047739982605, time : 86
iteration : 919, ce : 0.2734228581190109, total_loss : 0.2734228581190109, time : 86
iteration : 939, ce : 0.2617079295217991, total_loss : 0.2617079295217991, time : 87
iteration : 959, ce : 0.2574750207364559, total_loss : 0.2574750207364559, time : 86
iteration : 979, ce : 0.24326296523213387, total_loss : 0.24326296523213387, time : 86
iteration : 999, ce : 0.2537711299955845, total_loss : 0.2537711299955845, time : 86
iteration : 1019, ce : 0.2430502124130726, total_loss : 0.2430502124130726, time : 86
iteration : 1039, ce : 0.26347476467490194, total_loss : 0.26347476467490194, time : 86
iteration : 1059, ce : 0.2622847355902195, total_loss : 0.2622847355902195, time : 86
iteration : 1079, ce : 0.2555035974830389, total_loss : 0.2555035974830389, time : 86
iteration : 1099, ce : 0.2533605434000492, total_loss : 0.2533605434000492, time : 86
iteration : 1119, ce : 0.2685093179345131, total_loss : 0.2685093179345131, time : 86
iteration : 1139, ce : 0.2703984990715981, total_loss : 0.2703984990715981, time : 86
iteration : 1159, ce : 0.2779976800084114, total_loss : 0.2779976800084114, time : 86
iteration : 1179, ce : 0.2781808875501156, total_loss : 0.2781808875501156, time : 86
iteration : 1199, ce : 0.24643348753452302, total_loss : 0.24643348753452302, time : 86
iteration : 1219, ce : 0.28660568669438363, total_loss : 0.28660568669438363, time : 86
iteration : 1239, ce : 0.2569480188190937, total_loss : 0.2569480188190937, time : 86
iteration : 1259, ce : 0.27315074428915975, total_loss : 0.27315074428915975, time : 85
iteration : 1279, ce : 0.2730820208787918, total_loss : 0.2730820208787918, time : 86
iteration : 1299, ce : 0.22231608182191848, total_loss : 0.22231608182191848, time : 86
iteration : 1319, ce : 0.2755183458328247, total_loss : 0.2755183458328247, time : 127
iteration : 1339, ce : 0.26213986426591873, total_loss : 0.26213986426591873, time : 91
iteration : 1359, ce : 0.2263736270368099, total_loss : 0.2263736270368099, time : 89
iteration : 1379, ce : 0.24996566250920296, total_loss : 0.24996566250920296, time : 88
iteration : 1399, ce : 0.26272456273436545, total_loss : 0.26272456273436545, time : 87
iteration : 1419, ce : 0.25481880605220797, total_loss : 0.25481880605220797, time : 86
iteration : 1439, ce : 0.24980941116809846, total_loss : 0.24980941116809846, time : 86
iteration : 1459, ce : 0.255598284304142, total_loss : 0.255598284304142, time : 85
iteration : 1479, ce : 0.24230374172329902, total_loss : 0.24230374172329902, time : 86
iteration : 1499, ce : 0.2864732339978218, total_loss : 0.2864732339978218, time : 85
iteration : 1519, ce : 0.26432866752147677, total_loss : 0.26432866752147677, time : 86
iteration : 1539, ce : 0.24410064965486528, total_loss : 0.24410064965486528, time : 86
